,text,url,state,state_abbr
88,CT_SD_Enacted11232021.zip (790.3 KB),https://thearp.org/documents/643/CT_SD_Enacted11232021.zip,CT,CT
89,CT_LD_Enacted11182021_lipOwwW.zip (1.3 MB),https://thearp.org/documents/640/CT_LD_Enacted11182021_lipOwwW.zip,CT,CT
90,Delaware_CD_1992_2000.zip (8.4 KB),https://thearp.org/documents/12852/Delaware_CD_1992_2000.zip,DELAWARE,DE
91,de_upper_1992to2000.zip (381.1 KB),https://thearp.org/documents/12803/de_upper_1992to2000.zip,DE,DE
92,de_lower_1992to2000.zip (429.2 KB),https://thearp.org/documents/12729/de_lower_1992to2000.zip,DE,DE
93,de_upper_2002to2010.zip (374.8 KB),https://thearp.org/documents/10603/de_upper_2002to2010.zip,DE,DE
94,de_lower_2002to2010.zip (430.3 KB),https://thearp.org/documents/10706/de_lower_2002to2010.zip,DE,DE
95,DE_2012to2020_CD.zip (55.2 KB),https://thearp.org/documents/5035/DE_2012to2020_CD.zip,DE,DE
96,DE_2012to2020_SU.zip (423.7 KB),https://thearp.org/documents/5121/DE_2012to2020_SU.zip,DE,DE
97,DE_2012to2020_SL.zip (527.7 KB),https://thearp.org/documents/5163/DE_2012to2020_SL.zip,DE,DE
98,DE_US_Cong_2018.zip (53.4 KB),https://thearp.org/documents/646/DE_US_Cong_2018.zip,DE,DE
99,DE_SD_Enacted_Technical_Changes.zip (353.2 KB),https://thearp.org/documents/12515/DE_SD_Enacted_Technical_Changes.zip,DE,DE
100,DE_LD_Enacted_Technical_Changes.zip (537.5 KB),https://thearp.org/documents/12514/DE_LD_Enacted_Technical_Changes.zip,DE,DE
101,FL_CD_1992_1994.zip (189.5 KB),https://thearp.org/documents/12991/FL_CD_1992_1994.zip,FL,FL
102,FL_upper_1992to1994.zip (1.2 MB),https://thearp.org/documents/12731/FL_upper_1992to1994.zip,FL,FL
103,fl_lower_1992to2000.zip (1.5 MB),https://thearp.org/documents/12730/fl_lower_1992to2000.zip,FL,FL
104,florida_cd_1996_2000.zip (222.4 KB),https://thearp.org/documents/12853/florida_cd_1996_2000.zip,FLORIDA,FL
105,FL_Upper_1996to2000.zip (1.1 MB),https://thearp.org/documents/12732/FL_Upper_1996to2000.zip,FL,FL
106,FL_CD_2002_2010.zip (2.4 MB),https://thearp.org/documents/11017/FL_CD_2002_2010.zip,FL,FL
107,fl_upper_2002to2010.zip (2.3 MB),https://thearp.org/documents/10604/fl_upper_2002to2010.zip,FL,FL
108,fl_lower_2002to2010.zip (3.5 MB),https://thearp.org/documents/10705/fl_lower_2002to2010.zip,FL,FL
109,FL_2012to2014_CD.zip (1.3 MB),https://thearp.org/documents/5036/FL_2012to2014_CD.zip,FL,FL
110,FL_2012to2014_SU.zip (1.5 MB),https://thearp.org/documents/5122/FL_2012to2014_SU.zip,FL,FL
111,FL_2012to2020_SL.zip (2.0 MB),https://thearp.org/documents/5164/FL_2012to2020_SL.zip,FL,FL
112,FL_2016to2020_CD.zip (1.3 MB),https://thearp.org/documents/5037/FL_2016to2020_CD.zip,FL,FL
113,FL_2016to2020_SU.zip (1.4 MB),https://thearp.org/documents/5123/FL_2016to2020_SU.zip,FL,FL
114,FL_CD_Enacted04222022_Florida.zip (1.2 MB),https://thearp.org/documents/655/FL_CD_Enacted04222022_Florida.zip,FL,FL
115,FL_SD_Enacted03032022.zip (1.4 MB),https://thearp.org/documents/661/FL_SD_Enacted03032022.zip,FL,FL
116,FL_LD_Enacted03032022.zip (2.3 MB),https://thearp.org/documents/658/FL_LD_Enacted03032022.zip,FL,FL
117,FL_CD2026.zip (291.7 KB),https://thearp.org/documents/20151/FL_CD2026.zip,FL,FL
118,GA_CD_1992.zip (197.2 KB),https://thearp.org/documents/12992/GA_CD_1992.zip,GA,GA
119,ga_upper_1992to2000.zip (2.7 MB),https://thearp.org/documents/12734/ga_upper_1992to2000.zip,GA,GA
