election_id,election,CandidateTotalsByCountyLink,Notes
41,2014 GENERAL PRIMARY,https://elections.il.gov/NewDocDisplay.aspx?khDtbt6dhc8zLboSZnz8zqVh5SQVox7uAOAe2nieWDAlNyd4%2btjArHsz9xVXIJ4p6Y57u3FvWw0%2bgnNWdT3uKyV44EJPSNKJqSNPoTMrt%2fmA2Vga9kq1ZasjAerqxs3fRrf2XYrBXtEbKmVLSjufof2IpO8z4VfYshl93ka8t4VUe%2b%2bKCz2u1PkMgvahLR%2bC
40,2013 SPECIAL GENERAL ELECTION,
38,2013 SPECIAL PRIMARY,
33,2012 GENERAL ELECTION,https://elections.il.gov/NewDocDisplay.aspx?khDtbt6dhc8zLboSZnz8zqVh5SQVox7uAOAe2nieWDAlNyd4%2btjArHsz9xVXIJ4p6Y57u3FvWw0%2bgnNWdT3uKyV44EJPSNKJqSNPoTMrt%2fmA2Vga9kq1Zer3TqjMLZFBpyGuzFVLVTjMzwFBag7lMBUEzMjHB2EUWqGr2rtkDCVng39K6blavk1qrrSf2XUO
32,2012 GENERAL PRIMARY,https://elections.il.gov/NewDocDisplay.aspx?khDtbt6dhc8zLboSZnz8zqVh5SQVox7uAOAe2nieWDAlNyd4%2btjArHsz9xVXIJ4p6Y57u3FvWw0%2bgnNWdT3uKyV44EJPSNKJqSNPoTMrt%2fmA2Vga9kq1Zer3TqjMLZFBpyGuzFVLVTjMzwFBag7lME1L7hxIQQoc5HhRXX%2bWhi%2bgmy8ULWmB6anuiUlxuFUQ
29,2010 GENERAL ELECTION,https://elections.il.gov/NewDocDisplay.aspx?khDtbt6dhc8zLboSZnz8zqVh5SQVox7uAOAe2nieWDAlNyd4%2btjArHsz9xVXIJ4p6Y57u3FvWw0%2bgnNWdT3uKyV44EJPSNKJqSNPoTMrt%2fmA2Vga9kq1ZchKLBtq0PZpEVaLjqq6OleE8DkYy3MmTpLOtdCJcZS1kVBslIYL%2f1tce8O8SBv3xzw0IEnRvHWh
30,2010 SPECIAL GENERAL ELECTION,
28,2010 GENERAL PRIMARY,https://elections.il.gov/NewDocDisplay.aspx?khDtbt6dhc8zLboSZnz8zqVh5SQVox7uAOAe2nieWDAlNyd4%2btjArHsz9xVXIJ4p6Y57u3FvWw0%2bgnNWdT3uKyV44EJPSNKJqSNPoTMrt%2fmA2Vga9kq1ZchKLBtq0PZpEVaLjqq6OleE8DkYy3MmTp6H9k5sJxom1Y1PPZKwyR4dyASY9ZwI%2bIb8By4UszQV
27,2009 SPECIAL GENERAL ELECTION,,"5th congress, Mike Quigley beats Rosanna Pulido"
26,2009 SPECIAL PRIMARY,,"5th congress, Mike Quigley beats Rosanna Pulido"
22,2008 GENERAL ELECTION,https://elections.il.gov/NewDocDisplay.aspx?khDtbt6dhc8zLboSZnz8zqVh5SQVox7uAOAe2nieWDAlNyd4%2btjArHsz9xVXIJ4p6Y57u3FvWw0%2bgnNWdT3uKyV44EJPSNKJqSNPoTMrt%2fmA2Vga9kq1ZVcE%2fKSRRVYPmEiR0E1M2978KTDoe9Wt%2by0Fu4gjQ7hcfhl%2f%2f1D5qId5Ex2btBAktxdA3jlhBQA1
24,2008 SPECIAL GENERAL ELECTION,,"14th congress, Jim Oberweis beats Bill Foster"
21,2008 GENERAL PRIMARY,https://elections.il.gov/NewDocDisplay.aspx?khDtbt6dhc8zLboSZnz8zqVh5SQVox7uAOAe2nieWDAlNyd4%2btjArHsz9xVXIJ4p6Y57u3FvWw0%2bgnNWdT3uKyV44EJPSNKJqSNPoTMrt%2fmA2Vga9kq1ZVcE%2fKSRRVYPmEiR0E1M2978KTDoe9Wt%2b1W5aF%2bRXzu69bF8AGYhjosV0r3rabq5ik%2b7TPbIYSWP
23,2008 SPECIAL PRIMARY,,"14th congress, Jim Oberweis beats Bill Foster"
19,2006 GENERAL ELECTION,https://elections.il.gov/NewDocDisplay.aspx?khDtbt6dhc8zLboSZnz8zqVh5SQVox7uAOAe2nieWDAlNyd4%2btjArHsz9xVXIJ4p6Y57u3FvWw0%2bgnNWdT3uKyV44EJPSNKJqSNPoTMrt%2fmA2Vga9kq1ZYCUKSb2ZB%2fCxykq03t7B1JOgGbXUywd8lSoSdcSn1NOnhz5S%2fCRQGBY1CzCGgbqqjL%2bpHSLtjns4uKSQMa6Bl4%3d
18,2006 GENERAL PRIMARY,https://elections.il.gov/NewDocDisplay.aspx?khDtbt6dhc8zLboSZnz8zqVh5SQVox7uAOAe2nieWDAlNyd4%2btjArHsz9xVXIJ4p6Y57u3FvWw0%2bgnNWdT3uKyV44EJPSNKJqSNPoTMrt%2fmA2Vga9kq1ZYCUKSb2ZB%2fCxykq03t7B1JOgGbXUywd8voRsbUZilaq7s8%2fEtlljJoGm8bYAmJ5hZfvY%2fh5vzXhcnWII4oWPrA%3d
16,2004 GENERAL ELECTION,https://elections.il.gov/NewDocDisplay.aspx?khDtbt6dhc8zLboSZnz8zqVh5SQVox7uAOAe2nieWDAlNyd4%2btjArHsz9xVXIJ4p6Y57u3FvWw0%2bgnNWdT3uKyV44EJPSNKJqSNPoTMrt%2fmA2Vga9kq1ZbBAaynJaYDeehzrVcUaY%2f6dQuJ6YjQnX3Gmw0TVe3reHGtLNWadKq6k5%2flQ9ATuf0JBdGp8YrnUV%2b3VcS%2fswSI%3d
15,2004 GENERAL PRIMARY,https://elections.il.gov/NewDocDisplay.aspx?khDtbt6dhc8zLboSZnz8zqVh5SQVox7uAOAe2nieWDAlNyd4%2btjArHsz9xVXIJ4p6Y57u3FvWw0%2bgnNWdT3uKyV44EJPSNKJqSNPoTMrt%2fmA2Vga9kq1ZbBAaynJaYDeehzrVcUaY%2f6dQuJ6YjQnX%2b71Qjck0nD%2bHTkhSqy3seNhDNa1ZxovWMIsahgG9aKfJDp6awFM9Hw%3d
13,2002 GENERAL ELECTION,https://elections.il.gov/NewDocDisplay.aspx?khDtbt6dhc8zLboSZnz8zqVh5SQVox7uAOAe2nieWDAlNyd4%2btjArHsz9xVXIJ4p6Y57u3FvWw0%2bgnNWdT3uKyV44EJPSNKJqSNPoTMrt%2fmA2Vga9kq1ZeeBDZh5aFV%2f5Fj6mxlHEmXEac%2b7FDWzAeI%2beuD9AjYyH%2bPmg1%2bQ4ldODLJ1CZObWDOLWoLUWCijE0seLUr%2b6ag%3d
10,2002 GENERAL PRIMARY,https://elections.il.gov/NewDocDisplay.aspx?khDtbt6dhc8zLboSZnz8zqVh5SQVox7uAOAe2nieWDAlNyd4%2btjArHsz9xVXIJ4p6Y57u3FvWw0%2bgnNWdT3uKyV44EJPSNKJqSNPoTMrt%2fmA2Vga9kq1ZeeBDZh5aFV%2f5Fj6mxlHEmXEac%2b7FDWzASHsRW%2fwdRIOZN%2bm5LhvUKVZKW2Ks6Ik7fNTdc7naVggVcD4c4BindM%3d
8,2000 GENERAL ELECTION,https://elections.il.gov/NewDocDisplay.aspx?khDtbt6dhc8zLboSZnz8zqVh5SQVox7uAOAe2nieWDAlNyd4%2btjArHsz9xVXIJ4p6Y57u3FvWw0%2bgnNWdT3uKyV44EJPSNKJqSNPoTMrt%2fmA2Vga9kq1ZZw3h4ar3NE4CX%2bu5lLO94twHzufQ58vYiTTyLyUvgi0WN69Fo5kccbMLRCeI2oJQ8oIHXp6VBYVJ3KPqNlmkxg%3d
7,2000 GENERAL PRIMARY,https://elections.il.gov/NewDocDisplay.aspx?khDtbt6dhc8zLboSZnz8zqVh5SQVox7uAOAe2nieWDAlNyd4%2btjArHsz9xVXIJ4p6Y57u3FvWw0%2bgnNWdT3uKyV44EJPSNKJqSNPoTMrt%2fmA2Vga9kq1ZZw3h4ar3NE4CX%2bu5lLO94twHzufQ58vYlkMCNtiT%2bQdcHGqEYcC76DQfv1UzuPRv4Gx4s1BrJGh2J6hddFaptM%3d
11,1998 GENERAL ELECTION,https://elections.il.gov/NewDocDisplay.aspx?khDtbt6dhc8zLboSZnz8zqVh5SQVox7uAOAe2nieWDAlNyd4%2btjArHsz9xVXIJ4p6Y57u3FvWw0%2bgnNWdT3uKyV44EJPSNKJqSNPoTMrt%2fmA2Vga9kq1ZbxtiJ%2fosJgrbL31aBh9d%2f%2bNJIzsDGBT%2bfoloSjs%2f6ALb494jITMllUgwFEFbYmnkbKxOfg5d3r04%2fFvsokQoGg%3d
12,1998 GENERAL PRIMARY,https://elections.il.gov/NewDocDisplay.aspx?khDtbt6dhc8zLboSZnz8zqVh5SQVox7uAOAe2nieWDAlNyd4%2btjArHsz9xVXIJ4p6Y57u3FvWw0%2bgnNWdT3uKyV44EJPSNKJqSNPoTMrt%2fmA2Vga9kq1ZbxtiJ%2fosJgrbL31aBh9d%2f%2bNJIzsDGBT%2bQkhuKmvpbsxgbne1Q5vajgD4SHsAWia8xPXnyQzj63o9gG9ONztqDU%3d
