"FIPS"	"NAME"	"ID"	"STATE"	"VERSION"	"START_DATE"	"END_DATE"	"CREATION_OR_CHANGE"	"CITATION"	"START_N"	"END_N"	"DATASET"
"18083"	"KNOX (Ind.)"	"ins_knox"	"IN"	"4"	03 02 1801 0:00:00	28 02 1803 0:00:00	"KNOX (Ind.) gained non-county area in present Indiana, Michigan, and Ohio; lost to creation of CLARK (Ind.) and lost to RANDOLPH and ST. CLAIR."	"(Ind. Terr., Exec. Journal, 97-100; Pence and Armstrong, 212, 520)"	18010203	18030228	"IL_AtlasHCB"
"17163"	"ST. CLAIR"	"ils_stclair"	"IL"	"3"	03 02 1801 0:00:00	28 02 1803 0:00:00	"ST. CLAIR gained from KNOX (Ind.) and non-county area in present Illinois, Indiana, Michigan, Minnesota, and Wisconsin; ST. CLAIR lost to RANDOLPH."	"(Ind. Terr., Exec. Journal, 97-100; Pence and Armstrong, 212, 520)"	18010203	18030228	"IL_AtlasHCB"
	"WAYNE (Ind. Terr., extinct)"	"int_wayne"	"IN"	"1"	01 03 1803 0:00:00	29 06 1805 0:00:00	"WAYNE (Indiana Territory, extinct) created by Indiana Territory from KNOX (Ind.), ST. CLAIR, and non-county area; included parts of present Illinois, Indiana, Michigan, Ohio, and Wisconsin."	"(Ind. Terr., Exec. Journal, 114-115; Pence and Armstrong, 218; U.S. Stat., vol. 2, ch. 40 [1802], secs. 1-3/pp. 173-174; Van Zandt, 112)"	18030301	18050629	"IL_AtlasHCB"
"18083"	"KNOX (Ind.)"	"ins_knox"	"IN"	"5"	01 03 1803 0:00:00	30 11 1808 0:00:00	"KNOX (Ind.) lost to creation of WAYNE (Indiana Territory, extinct), lost to HAMILTON (Ohio) and to non-county area in Ohio; KNOX's area within present Illinois was unchanged."	"(Ind. Terr., Exec. Journal, 114-115; Pence and Armstrong, 218; U.S. Stat., vol. 2, ch. 40 [1802], secs. 1-3/pp. 173-174; Van Zandt, 112)"	18030301	18081130	"IL_AtlasHCB"
"17163"	"ST. CLAIR"	"ils_stclair"	"IL"	"4"	01 03 1803 0:00:00	30 04 1803 0:00:00	"ST. CLAIR lost to creation of WAYNE (Indiana Territory, extinct)."	"(Ind. Terr., Exec. Journal, 114-115; Pence and Armstrong, 218; U.S. Stat., vol. 2, ch. 40 [1802], secs. 1-3/pp. 173-174; Van Zandt, 112)"	18030301	18030430	"IL_AtlasHCB"
"17157"	"RANDOLPH"	"ils_randolph"	"IL"	"3"	01 05 1803 0:00:00	27 04 1809 0:00:00	"RANDOLPH exchanged with ST. CLAIR."	"(Ind. Terr., Exec. Journal, 117-118)"	18030501	18090427	"IL_AtlasHCB"
"17163"	"ST. CLAIR"	"ils_stclair"	"IL"	"5"	01 05 1803 0:00:00	27 04 1809 0:00:00	"ST. CLAIR exchanged with RANDOLPH."	"(Ind. Terr., Exec. Journal, 117-118)"	18030501	18090427	"IL_AtlasHCB"
	"WAYNE (Ind. Terr., extinct)"	"int_wayne"	"IN"		30 06 1805 0:00:00		"WAYNE (Indiana Territory, extinct) eliminated when Michigan Territory was created from Indiana Territory."	"(Terr. Papers U.S., 10:5-7; U.S. Stat., vol. 2, ch. 5 [1805]/pp. 309-310)"	18050630		"IL_AtlasHCB"
"18083"	"KNOX (Ind.)"	"ins_knox"	"IN"	"6"	01 12 1808 0:00:00	28 02 1809 0:00:00	"KNOX (Ind.) lost to creation of HARRISON (Ind.); KNOX's area within present Illinois was unchanged."	"(Ind. Terr. Laws, 1801-1809, 645-646)"	18081201	18090228	"IL_AtlasHCB"
"17157"	"RANDOLPH"	"ils_randolph"	"IL"		01 03 1809 0:00:00		"RANDOLPH became a part of Illinois Territory when Illinois Territory was created from Indiana Territory; RANDOLPH continued de facto, with no new boundaries specified [see 28 April 1809]."	"(U.S. Stat., vol. 2, ch 13 [1809], sec. 1/pp. 514-515)"	18090301		"IL_AtlasHCB"
"18083"	"KNOX (Ind.)"	"ins_knox"	"IN"		01 03 1809 0:00:00		"KNOX (Ind.) lost to creation of Illinois Territory. KNOX was effectively eliminated from Illinois, although some small areas of present Illinois along the Wabash River remained part of KNOX until 1816."	"(U.S. Stat., vol. 2, ch 13 [1809], sec. 1/pp. 514-515)"	18090301		"IL_AtlasHCB"
"17163"	"ST. CLAIR"	"ils_stclair"	"IL"		01 03 1809 0:00:00		"ST. CLAIR became part of Illinois Territory when Illinois Territory was created from Indiana Territory; ST. CLAIR continued de facto, with no new boundaries specified [see 28 April 1809]."	"(U.S. Stat., vol. 2, ch 13 [1809], sec. 1/pp. 514-515)"	18090301		"IL_AtlasHCB"
"17157"	"RANDOLPH"	"ils_randolph"	"IL"	"4"	28 04 1809 0:00:00	13 09 1812 0:00:00	"RANDOLPH created by Illinois Territory, effectively continuing the county of the same name created by the Northwest Territory in 1795. RANDOLPH gained from ST. CLAIR and gained the former area of KNOX (Ind.) that became part of Illinois Territory; RANDOLPH included a small area of present Indiana."	"(Ill. Terr. Recs., 3-4; Terr. Papers U.S., 17:620-621)"	18090428	18120913	"IL_AtlasHCB"
"17163"	"ST. CLAIR"	"ils_stclair"	"IL"	"6"	28 04 1809 0:00:00	13 09 1812 0:00:00	"ST. CLAIR created by Illinois Territory, effectively continuing the county of the same name created by the Northwest Territory in 1790. ST. CLAIR exchanged with Indiana Territory, and lost to RANDOLPH; ST. CLAIR eliminated from present Indiana."	"(Ill. Terr. Recs., 3-4; Terr. Papers U.S., 17:620-621)"	18090428	18120913	"IL_AtlasHCB"
