"FIPS"	"NAME"	"ID"	"STATE"	"VERSION"	"START_DATE"	"END_DATE"	"CREATION_OR_CHANGE"	"CITATION"	"START_N"	"END_N"	"DATASET"
"17181"	"UNION"	"ils_union"	"IL"		04 03 1819 0:00:00		"Non-County Area 1 attached to UNION lost all territory to creation of ALEXANDER; Non-County Area 1 eliminated."	"(Ill. Laws 1819, pp. 113-114)"	18190304		"IL_AtlasHCB"
"17003"	"ALEXANDER"	"ils_alexander"	"IL"	"1"	04 03 1819 0:00:00	04 06 1843 0:00:00	"ALEXANDER created from Non-County Area 1 attached to UNION."	"(Ill. Laws 1819, pp. 113-114)"	18190304	18430604	"IL_AtlasHCB"
"17033"	"CRAWFORD"	"ils_crawford"	"IL"	"3"	22 03 1819 0:00:00	15 01 1821 0:00:00	"CRAWFORD lost to creation of CLARK."	"(Ill. Laws 1819, pp. 166-167)"	18190322	18210115	"IL_AtlasHCB"
"17023"	"CLARK"	"ils_clark"	"IL"	"1"	22 03 1819 0:00:00	30 01 1821 0:00:00	"CLARK created from CRAWFORD."	"(Ill. Laws 1819, pp. 166-167)"	18190322	18210130	"IL_AtlasHCB"
"17081"	"JEFFERSON"	"ils_jefferson"	"IL"	"1"	26 03 1819 0:00:00	28 03 1819 0:00:00	"JEFFERSON created from EDWARDS and WHITE."	"(Ill. Laws 1819, pp. 267-268)"	18190326	18190328	"IL_AtlasHCB"
"17193"	"WHITE"	"ils_white"	"IL"	"3"	26 03 1819 0:00:00	07 02 1821 0:00:00	"WHITE lost to creation of JEFFERSON."	"(Ill. Laws 1819, pp. 267-268)"	18190326	18210207	"IL_AtlasHCB"
"17047"	"EDWARDS"	"ils_edwards"	"IL"	"4"	26 03 1819 0:00:00	28 03 1819 0:00:00	"EDWARDS lost to creation of JEFFERSON and WAYNE."	"(Ill. Laws 1819, pp. 268-269)"	18190326	18190328	"IL_AtlasHCB"
"17191"	"WAYNE"	"ils_wayne"	"IL"	"1"	26 03 1819 0:00:00	13 02 1821 0:00:00	"WAYNE created from EDWARDS."	"(Ill. Laws 1819, pp. 268-269)"	18190326	18210213	"IL_AtlasHCB"
"17047"	"EDWARDS"	"ils_edwards"	"IL"	"5"	29 03 1819 0:00:00	15 01 1821 0:00:00	"EDWARDS lost to JEFFERSON."	"(Ill. Laws 1819, pp. 320-321)"	18190329	18210115	"IL_AtlasHCB"
"17081"	"JEFFERSON"	"ils_jefferson"	"IL"	"2"	29 03 1819 0:00:00	13 02 1821 0:00:00	"JEFFERSON gained from EDWARDS."	"(Ill. Laws 1819, pp. 320-321)"	18190329	18210213	"IL_AtlasHCB"
"17047"	"EDWARDS"	"ils_edwards"	"IL"	"6"	16 01 1821 0:00:00	26 12 1824 0:00:00	"EDWARDS lost to creation of LAWRENCE."	"(Ill. Laws 1820-1821, pp. 16-17)"	18210116	18241226	"IL_AtlasHCB"
"17033"	"CRAWFORD"	"ils_crawford"	"IL"	"4"	16 01 1821 0:00:00	13 02 1821 0:00:00	"CRAWFORD lost to creation of LAWRENCE."	"(Ill. Laws 1820-1821, pp. 16-17)"	18210116	18210213	"IL_AtlasHCB"
"17101"	"LAWRENCE"	"ils_lawrence"	"IL"	"1"	16 01 1821 0:00:00	22 12 1824 0:00:00	"LAWRENCE created from CRAWFORD and EDWARDS."	"(Ill. Laws 1820-1821, pp. 16-17)"	18210116	18241222	"IL_AtlasHCB"
"17061"	"GREENE"	"ils_greene"	"IL"	"1"	20 01 1821 0:00:00	04 08 1839 0:00:00	"GREENE created from MADISON; part of MADISON became Non-County Area 2 and was attached to GREENE ""for all purposes."""	"(Ill. Laws 1820-1821, pp. 26-27)"	18210120	18390804	"IL_AtlasHCB"
"17119"	"MADISON"	"ils_madison"	"IL"	"5"	20 01 1821 0:00:00	29 01 1821 0:00:00	"MADISON lost to creation of GREENE and to creation of Non-County Area 2."	"(Ill. Laws 1820-1821, pp. 26-27)"	18210120	18210129	"IL_AtlasHCB"
"17167"	"SANGAMON"	"ils_sangamon"	"IL"	"1"	30 01 1821 0:00:00	30 01 1823 0:00:00	"SANGAMON created from BOND and MADISON."	"(Ill. Laws 1820-1821, pp. 45-46)"	18210130	18230130	"IL_AtlasHCB"
"17119"	"MADISON"	"ils_madison"	"IL"	"6"	30 01 1821 0:00:00	30 01 1821 0:00:00	"MADISON lost to creation of SANGAMON."	"(Ill. Laws 1820-1821, pp. 45-46)"	18210130	18210130	"IL_AtlasHCB"
"17005"	"BOND"	"ils_bond"	"IL"	"3"	30 01 1821 0:00:00	30 01 1821 0:00:00	"BOND lost to creation of SANGAMON."	"(Ill. Laws 1820-1821, pp. 45-46)"	18210130	18210130	"IL_AtlasHCB"
"17149"	"PIKE"	"ils_pike"	"IL"	"1"	31 01 1821 0:00:00	29 12 1822 0:00:00	"PIKE created from BOND, CLARK, and MADISON."	"(Ill. Laws 1820-1821, p. 59)"	18210131	18221229	"IL_AtlasHCB"
"17119"	"MADISON"	"ils_madison"	"IL"	"7"	31 01 1821 0:00:00	11 02 1821 0:00:00	"MADISON lost to creation of PIKE."	"(Ill. Laws 1820-1821, p. 59)"	18210131	18210211	"IL_AtlasHCB"
"17023"	"CLARK"	"ils_clark"	"IL"	"2"	31 01 1821 0:00:00	13 02 1821 0:00:00	"CLARK lost to creation of PIKE."	"(Ill. Laws 1820-1821, p. 59)"	18210131	18210213	"IL_AtlasHCB"
"17005"	"BOND"	"ils_bond"	"IL"	"4"	31 01 1821 0:00:00	11 02 1821 0:00:00	"BOND lost to creation of PIKE."	"(Ill. Laws 1820-1821, p. 59)"	18210131	18210211	"IL_AtlasHCB"
"17193"	"WHITE"	"ils_white"	"IL"	"4"	08 02 1821 0:00:00	06 11 1854 0:00:00	"WHITE lost to creation of HAMILTON."	"(Ill. Laws 1820-1821, pp. 113-114)"	18210208	18541106	"IL_AtlasHCB"
"17065"	"HAMILTON"	"ils_hamilton"	"IL"	"1"	08 02 1821 0:00:00	06 11 1854 0:00:00	"HAMILTON created from WHITE."	"(Ill. Laws 1820-1821, pp. 113-114)"	18210208	18541106	"IL_AtlasHCB"
"17119"	"MADISON"	"ils_madison"	"IL"	"8"	12 02 1821 0:00:00	02 01 1825 0:00:00	"MADISON lost to creation of MONTGOMERY."	"(Ill. Laws 1820-1821, pp. 142-143)"	18210212	18250102	"IL_AtlasHCB"
"17005"	"BOND"	"ils_bond"	"IL"	"5"	12 02 1821 0:00:00	13 02 1821 0:00:00	"BOND lost to creation of MONTGOMERY."	"(Ill. Laws 1820-1821, pp. 142-143)"	18210212	18210213	"IL_AtlasHCB"
"17135"	"MONTGOMERY"	"ils_montgomery"	"IL"	"1"	12 02 1821 0:00:00	22 01 1827 0:00:00	"MONTGOMERY created from BOND and MADISON."	"(Ill. Laws 1820-1821, pp. 142-143)"	18210212	18270122	"IL_AtlasHCB"
"17023"	"CLARK"	"ils_clark"	"IL"	"3"	14 02 1821 0:00:00	22 12 1822 0:00:00	"CLARK lost to creation of FAYETTE."	"(Ill. Laws 1820-1821, pp. 164-167)"	18210214	18221222	"IL_AtlasHCB"
"17051"	"FAYETTE"	"ils_fayette"	"IL"	"1"	14 02 1821 0:00:00	23 01 1823 0:00:00	"FAYETTE created from BOND, CLARK, CRAWFORD, JEFFERSON, and WAYNE."	"(Ill. Laws 1820-1821, pp. 164-167)"	18210214	18230123	"IL_AtlasHCB"
"17191"	"WAYNE"	"ils_wayne"	"IL"	"2"	14 02 1821 0:00:00	22 12 1824 0:00:00	"WAYNE lost to creation of FAYETTE."	"(Ill. Laws 1820-1821, pp. 164-167)"	18210214	18241222	"IL_AtlasHCB"
"17081"	"JEFFERSON"	"ils_jefferson"	"IL"	"3"	14 02 1821 0:00:00	23 01 1823 0:00:00	"JEFFERSON lost to creation of FAYETTE."	"(Ill. Laws 1820-1821, pp. 164-167)"	18210214	18230123	"IL_AtlasHCB"
"17033"	"CRAWFORD"	"ils_crawford"	"IL"	"5"	14 02 1821 0:00:00	22 12 1822 0:00:00	"CRAWFORD lost to creation of FAYETTE."	"(Ill. Laws 1820-1821, pp. 164-167)"	18210214	18221222	"IL_AtlasHCB"
"17005"	"BOND"	"ils_bond"	"IL"	"6"	14 02 1821 0:00:00	26 12 1824 0:00:00	"BOND lost to creation of FAYETTE."	"(Ill. Laws 1820-1821, pp. 164-167)"	18210214	18241226	"IL_AtlasHCB"
"17033"	"CRAWFORD"	"ils_crawford"	"IL"	"6"	23 12 1822 0:00:00	22 12 1824 0:00:00	"CRAWFORD lost small area to CLARK."	"(Ill. Laws 1822-1823, p. 79)"	18221223	18241222	"IL_AtlasHCB"
"17023"	"CLARK"	"ils_clark"	"IL"	"4"	23 12 1822 0:00:00	02 01 1823 0:00:00	"CLARK gained small area from CRAWFORD."	"(Ill. Laws 1822-1823, p. 79)"	18221223	18230102	"IL_AtlasHCB"
"17149"	"PIKE"	"ils_pike"	"IL"	"2"	30 12 1822 0:00:00	09 01 1825 0:00:00	"Part of PIKE became Non-County Area 3; Non-County Area 3 was attached to PIKE ""until otherwise disposed of."""	"(Ill. Laws 1822-1823, pp. 84-85)"	18221230	18250109	"IL_AtlasHCB"
"17149"	"PIKE"	"ils_pike"	"IL"		03 01 1823 0:00:00		"PIKE lost part of attached Non-County Area 3 to creation of Non-County Area 4."	"(History of Edgar, 514-515; Ill. Laws 1822-1823, pp. 74-75)"	18230103		"IL_AtlasHCB"
"17023"	"CLARK"	"ils_clark"	"IL"	"5"	03 01 1823 0:00:00	17 01 1826 0:00:00	"CLARK lost to creation of EDGAR and to creation of Non-County Area 4."	"(History of Edgar, 514-515; Ill. Laws 1822-1823, pp. 74-75)"	18230103	18260117	"IL_AtlasHCB"
"17045"	"EDGAR"	"ils_edgar"	"IL"	"1"	03 01 1823 0:00:00	24 12 1830 0:00:00	"EDGAR created from CLARK. Non-County Area 4 attached to EDGAR for administrative and judicial purposes."	"(History of Edgar, 514-515; Ill. Laws 1822-1823, pp. 74-75)"	18230103	18301224	"IL_AtlasHCB"
"17081"	"JEFFERSON"	"ils_jefferson"	"IL"	"4"	24 01 1823 0:00:00	31 12 2000 0:00:00	"JEFFERSON lost to creation of MARION."	"(Ill. Laws 1822-1823, pp. 49-50)"	18230124	20001231	"IL_AtlasHCB"
"17121"	"MARION"	"ils_marion"	"IL"	"1"	24 01 1823 0:00:00	31 12 2000 0:00:00	"MARION created from FAYETTE and JEFFERSON."	"(Ill. Laws 1822-1823, pp. 49-50)"	18230124	20001231	"IL_AtlasHCB"
"17051"	"FAYETTE"	"ils_fayette"	"IL"	"2"	24 01 1823 0:00:00	22 12 1824 0:00:00	"FAYETTE lost to creation of MARION."	"(Ill. Laws 1822-1823, pp. 49-50)"	18230124	18241222	"IL_AtlasHCB"
"17149"	"PIKE"	"ils_pike"	"IL"		28 01 1823 0:00:00		"PIKE lost part of attached Non-County Area 3 to creation of FULTON and to creation of Non-County Area 5."	"(Ill. Laws 1822-1823, pp. 88-89)"	18230128		"IL_AtlasHCB"
"17057"	"FULTON"	"ils_fulton"	"IL"	"1"	28 01 1823 0:00:00	12 01 1825 0:00:00	"FULTON created from Non-County Area 3 attached to PIKE. Non-County Area 5 attached to FULTON ""until otherwise disposed of."""	"(Ill. Laws 1822-1823, pp. 88-89)"	18230128	18250112	"IL_AtlasHCB"
"17167"	"SANGAMON"	"ils_sangamon"	"IL"	"2"	31 01 1823 0:00:00	22 12 1824 0:00:00	"SANGAMON lost to creation of MORGAN."	"(Ill. Laws 1822-1823, pp. 108-109; Ill. Laws 1834-1835, pp. 62-63)"	18230131	18241222	"IL_AtlasHCB"
"17061"	"GREENE"	"ils_greene"	"IL"		31 01 1823 0:00:00		"GREENE lost part of attached Non-County Area 2 to creation of MORGAN."	"(Ill. Laws 1822-1823, pp. 108-109; Laws 1834-1835, pp. 62-63)"	18230131		"IL_AtlasHCB"
"17137"	"MORGAN"	"ils_morgan"	"IL"	"1"	31 01 1823 0:00:00	16 04 1837 0:00:00	"MORGAN created from SANGAMON and Non-County Area 2 attached to GREENE."	"(Ill. Laws 1822-1823, pp. 108-109; Ill. Laws 1834-1835, pp. 62-63)"	18230131	18370416	"IL_AtlasHCB"
"17101"	"LAWRENCE"	"ils_lawrence"	"IL"	"2"	23 12 1824 0:00:00	06 06 1841 0:00:00	"LAWRENCE lost to creation of CLAY."	"(Ill. Laws 1824-1825, pp. 18-20)"	18241223	18410606	"IL_AtlasHCB"
"17033"	"CRAWFORD"	"ils_crawford"	"IL"	"7"	23 12 1824 0:00:00	14 02 1831 0:00:00	"CRAWFORD lost to creation of CLAY."	"(Ill. Laws 1824-1825, pp. 18-20)"	18241223	18310214	"IL_AtlasHCB"
"17051"	"FAYETTE"	"ils_fayette"	"IL"	"3"	23 12 1824 0:00:00	26 12 1824 0:00:00	"FAYETTE lost to creation of CLAY."	"(Ill. Laws 1824-1825, pp. 18-20)"	18241223	18241226	"IL_AtlasHCB"
"17191"	"WAYNE"	"ils_wayne"	"IL"	"3"	23 12 1824 0:00:00	31 12 2000 0:00:00	"WAYNE lost to creation of CLAY."	"(Ill. Laws 1824-1825, pp. 18-20)"	18241223	20001231	"IL_AtlasHCB"
"17025"	"CLAY"	"ils_clay"	"IL"	"1"	23 12 1824 0:00:00	14 02 1831 0:00:00	"CLAY created from CRAWFORD, FAYETTE, LAWRENCE, and WAYNE."	"(Ill. Laws 1824-1825, pp. 18-20)"	18241223	18310214	"IL_AtlasHCB"
"17167"	"SANGAMON"	"ils_sangamon"	"IL"	"3"	23 12 1824 0:00:00	14 02 1839 0:00:00	"SANGAMON lost to creation of Non-County Area 6."	"(Ill. Laws 1824-1825, pp. 20-22)"	18241223	18390214	"IL_AtlasHCB"
"17189"	"WASHINGTON"	"ils_washington"	"IL"	"2"	27 12 1824 0:00:00	31 12 2000 0:00:00	"WASHINGTON lost to creation of CLINTON."	"(Ill. Laws 1824-1825, pp. 27-30)"	18241227	20001231	"IL_AtlasHCB"
"17027"	"CLINTON"	"ils_clinton"	"IL"	"1"	27 12 1824 0:00:00	31 12 2000 0:00:00	"CLINTON created from BOND, FAYETTE, and WASHINGTON."	"(Ill. Laws 1824-1825, pp. 27-30)"	18241227	20001231	"IL_AtlasHCB"
"17051"	"FAYETTE"	"ils_fayette"	"IL"	"4"	27 12 1824 0:00:00	22 01 1827 0:00:00	"FAYETTE lost to creation of CLINTON."	"(Ill. Laws 1824-1825, pp. 27-30)"	18241227	18270122	"IL_AtlasHCB"
"17005"	"BOND"	"ils_bond"	"IL"	"7"	27 12 1824 0:00:00	01 03 1843 0:00:00	"BOND lost to creation of CLINTON."	"(Ill. Laws 1824-1825, pp. 27-30)"	18241227	18430301	"IL_AtlasHCB"
"17185"	"WABASH"	"ils_wabash"	"IL"	"1"	27 12 1824 0:00:00	31 12 2000 0:00:00	"WABASH created from EDWARDS."	"(Ill. Laws 1824-1825, pp. 25-27)"	18241227	20001231	"IL_AtlasHCB"
"17047"	"EDWARDS"	"ils_edwards"	"IL"	"7"	27 12 1824 0:00:00	31 12 2000 0:00:00	"EDWARDS lost to creation of WABASH."	"(Ill. Laws 1824-1825, pp. 25-27)"	18241227	20001231	"IL_AtlasHCB"
"17061"	"GREENE"	"ils_greene"	"IL"		03 01 1825 0:00:00		"GREEN lost part of attached Non-County Area 2 to MADISON."	"(Ill. Laws 1824-1825, p. 53)"	18250103		"IL_AtlasHCB"
"17119"	"MADISON"	"ils_madison"	"IL"	"9"	03 01 1825 0:00:00	16 01 1829 0:00:00	"MADISON gained from Non-County Area 2 attached to GREENE."	"(Ill. Laws 1824-1825, p. 53)"	18250103	18290116	"IL_AtlasHCB"
"17149"	"PIKE"	"ils_pike"	"IL"	"3"	10 01 1825 0:00:00	12 01 1825 0:00:00	"PIKE lost to creation of CALHOUN."	"(Ill. Laws 1824-1825, pp. 65-67)"	18250110	18250112	"IL_AtlasHCB"
"17013"	"CALHOUN"	"ils_calhoun"	"IL"	"1"	10 01 1825 0:00:00	31 12 2000 0:00:00	"CALHOUN created from PIKE."	"(Ill. Laws 1824-1825, pp. 65-67)"	18250110	20001231	"IL_AtlasHCB"
"17001"	"ADAMS"	"ils_adams"	"IL"	"1"	13 01 1825 0:00:00	10 02 1843 0:00:00	"ADAMS created from PIKE and Non-County Area 3 attached to PIKE. HANCOCK attached to ADAMS ""for county purposes."""	"(Ill. Laws 1824-1825, pp. 85-87, 92-96)"	18250113	18430210	"IL_AtlasHCB"
"17067"	"HANCOCK"	"ils_hancock"	"IL"	"1"	13 01 1825 0:00:00	31 12 2000 0:00:00	"HANCOCK created from Non-County Area 3 attached to PIKE; HANCOCK not fully organized, attached to ADAMS ""for county purposes."""	"(Ill. Laws 1824-1825, pp. 85-87, 92-96)"	18250113	20001231	"IL_AtlasHCB"
"17073"	"HENRY"	"ils_henry"	"IL"	"1"	13 01 1825 0:00:00	16 02 1827 0:00:00	"HENRY created from Non-County Area 5 attached to FULTON."	"(Ill. Laws 1824-1825, pp. 85-87, 92-96)"	18250113	18270216	"IL_AtlasHCB"
"17095"	"KNOX"	"ils_knox"	"IL"	"1"	13 01 1825 0:00:00	14 01 1831 0:00:00	"KNOX created from FULTON and Non-County Area 5 attached to FULTON."	"(Ill. Laws 1824-1825, pp. 85-87, 92-96)"	18250113	18310114	"IL_AtlasHCB"
"17131"	"MERCER"	"ils_mercer"	"IL"	"1"	13 01 1825 0:00:00	16 02 1827 0:00:00	"MERCER created from Non-County Area 3 attached to PIKE; MERCER was divided into two parts. MERCER not fully organized, attached to SCHUYLER ""for all county purposes."""	"(Ill. Laws 1824-1825, pp. 85-87, 92-96)"	18250113	18270216	"IL_AtlasHCB"
"17187"	"WARREN"	"ils_warren"	"IL"	"1"	13 01 1825 0:00:00	19 01 1841 0:00:00	"WARREN created from Non-County Area 3 attached to PIKE; WARREN not fully organized, attached to SCHUYLER ""for all county purposes."""	"(Ill. Laws 1824-1825, pp. 85-87, 92-96)"	18250113	18410119	"IL_AtlasHCB"
"17143"	"PEORIA"	"ils_peoria"	"IL"	"1"	13 01 1825 0:00:00	27 02 1845 0:00:00	"PEORIA created from FULTON and Non-County Area 5 attached to FULTON. Non-County Area 6 attached to PEORIA ""for county purposes."""	"(Ill. Laws 1824-1825, pp. 85-87, 92-96)"	18250113	18450227	"IL_AtlasHCB"
"17057"	"FULTON"	"ils_fulton"	"IL"	"2"	13 01 1825 0:00:00	27 02 1845 0:00:00	"FULTON lost to creation of KNOX, PEORIA, and SCHUYLER; Non-County Area 5 attached to FULTON lost to creation of HENRY, KNOX, PEORIA, and PUTNAM."	"(Ill. Laws 1824-1825, pp. 85-87, 92-96)"	18250113	18450227	"IL_AtlasHCB"
"17149"	"PIKE"	"ils_pike"	"IL"	"4"	13 01 1825 0:00:00	31 12 2000 0:00:00	"PIKE lost to creation of ADAMS and SCHUYLER. Part of attached Non-County Area 3 lost to creation of ADAMS, HANCOCK, MERCER, SCHUYLER, and WARREN; remainder of Non-County Area 3 detached from PIKE, attached to SCHUYLER ""for all county purposes."""	"(Ill. Laws 1824-1825, pp. 85-87, 92-96)"	18250113	20001231	"IL_AtlasHCB"
"17169"	"SCHUYLER"	"ils_schuyler"	"IL"	"1"	13 01 1825 0:00:00	31 01 1839 0:00:00	"SCHUYLER created from FULTON, PIKE, and Non-County Area 3 attached to PIKE. MERCER and WARREN were attached to SCHUYLER. Non-County Area 3 detached from PIKE, attached to SCHUYLER. All attachments were ""for all county purposes."""	"(Ill. Laws 1824-1825, pp. 85-87, 92-96)"	18250113	18390131	"IL_AtlasHCB"
"17045"	"EDGAR"	"ils_edgar"	"IL"		13 01 1825 0:00:00		"EDGAR lost part of attached Non-County Area 4 to creation of PUTNAM."	"(Ill. Laws 1824-1825, pp. 85-87, 92-96)"	18250113		"IL_AtlasHCB"
"17155"	"PUTNAM"	"ils_putnam"	"IL"	"1"	13 01 1825 0:00:00	16 02 1827 0:00:00	"PUTNAM created from Non-County Area 4 attached to EDGAR and Non-County Area 5 attached to FULTON."	"(Ill. Laws 1824-1825, pp. 85-87, 92-96)"	18250113	18270216	"IL_AtlasHCB"
"17133"	"MONROE"	"ils_monroe"	"IL"	"2"	15 01 1825 0:00:00	08 01 1827 0:00:00	"MONROE gained from ST. CLAIR."	"(Ill. Laws 1824-1825, pp. 109-110)"	18250115	18270108	"IL_AtlasHCB"
"17163"	"ST. CLAIR"	"ils_stclair"	"IL"	"11"	15 01 1825 0:00:00	08 01 1827 0:00:00	"ST. CLAIR lost to MONROE."	"(Ill. Laws 1824-1825, pp. 109-110)"	18250115	18270108	"IL_AtlasHCB"
"17045"	"EDGAR"	"ils_edgar"	"IL"		18 01 1826 0:00:00		"Part of Non-County Area 4 attached to EDGAR lost to creation of VERMILION; remainder of Non-County Area 4 was detached from EDGAR, attached to VERMILION."	"(Ill. Laws 1826, pp. 50-53)"	18260118		"IL_AtlasHCB"
"17023"	"CLARK"	"ils_clark"	"IL"	"6"	18 01 1826 0:00:00	24 12 1830 0:00:00	"CLARK lost to creation of VERMILION and lost to Non-County Area 4."	"(Ill. Laws 1826, pp. 50-53)"	18260118	18301224	"IL_AtlasHCB"
"17183"	"VERMILION"	"ils_vermilion"	"IL"	"1"	18 01 1826 0:00:00	19 02 1833 0:00:00	"VERMILION created from CLARK and Non-County Area 4 attached to EDGAR; Non-County Area 4 detached from EDGAR, attached to VERMILION ""for all county purposes."""	"(Ill. Laws 1826, pp. 50-53)"	18260118	18330219	"IL_AtlasHCB"
"17109"	"McDONOUGH"	"ils_mcdonough"	"IL"	"1"	25 01 1826 0:00:00	31 12 2000 0:00:00	"McDONOUGH created from Non-County Area 3 attached to SCHUYLER; McDONOUGH not fully organized, attached to SCHUYLER ""for county purposes."""	"(Ill. Laws 1826, pp. 76-77)"	18260125	20001231	"IL_AtlasHCB"
"17169"	"SCHUYLER"	"ils_schuyler"	"IL"		25 01 1826 0:00:00		"Non-County Area 3 attached to SCHUYLER lost all territory to creation of McDONOUGH; Non-County Area 3 eliminated. McDONOUGH not fully organized, attached to SCHUYLER ""for county purposes."""	"(Ill. Laws 1826, pp. 76-77)"	18260125		"IL_AtlasHCB"
"17143"	"PEORIA"	"ils_peoria"	"IL"		01 03 1826 0:00:00		"MERCER and WARREN detached from SCHUYLER, attached to PEORIA ""for county purposes."""	"(Ill. Laws 1826, pp. 76-77)"	18260301		"IL_AtlasHCB"
"17131"	"MERCER"	"ils_mercer"	"IL"		01 03 1826 0:00:00		"MERCER detached from SCHUYLER, attached to PEORIA ""for county purposes."""	"(Ill. Laws 1826, pp. 76-77)"	18260301		"IL_AtlasHCB"
"17169"	"SCHUYLER"	"ils_schuyler"	"IL"		01 03 1826 0:00:00		"MERCER and WARREN detached from SCHUYLER, attached to PEORIA ""for county purposes."""	"(Ill. Laws 1826, pp. 76-77)"	18260301		"IL_AtlasHCB"
"17187"	"WARREN"	"ils_warren"	"IL"		01 03 1826 0:00:00		"WARREN detached from SCHUYLER, attached to PEORIA ""for county purposes."""	"(Ill. Laws 1826, pp. 76-77)"	18260301		"IL_AtlasHCB"
"17133"	"MONROE"	"ils_monroe"	"IL"	"3"	09 01 1827 0:00:00	31 12 2000 0:00:00	"MONROE gained from ST. CLAIR."	"(Ill. Laws 1826-1827, pp. 7-8)"	18270109	20001231	"IL_AtlasHCB"
"17163"	"ST. CLAIR"	"ils_stclair"	"IL"	"12"	09 01 1827 0:00:00	31 12 2000 0:00:00	"ST. CLAIR lost to MONROE."	"(Ill. Laws 1826-1827, pp. 7-8)"	18270109	20001231	"IL_AtlasHCB"
"17173"	"SHELBY"	"ils_shelby"	"IL"	"1"	23 01 1827 0:00:00	25 02 1839 0:00:00	"SHELBY created from FAYETTE; part of FAYETTE became Non-County Area 7 and was attached to SHELBY ""until otherwise provided by law."""	"(Ill. Rev. Code 1826-1827, pp. 115-117)"	18270123	18390225	"IL_AtlasHCB"
"17051"	"FAYETTE"	"ils_fayette"	"IL"	"5"	23 01 1827 0:00:00	14 02 1831 0:00:00	"FAYETTE lost to MONTGOMERY, lost to creation of SHELBY, and lost to creation of Non-County Area 7."	"(Ill. Rev. Code 1826-1827, pp. 115-117)"	18270123	18310214	"IL_AtlasHCB"
"17135"	"MONTGOMERY"	"ils_montgomery"	"IL"	"2"	23 01 1827 0:00:00	14 02 1839 0:00:00	"MONTGOMERY gained from FAYETTE."	"(Ill. Rev. Code 1826-1827, pp. 115-117)"	18270123	18390214	"IL_AtlasHCB"
"17157"	"RANDOLPH"	"ils_randolph"	"IL"	"9"	29 01 1827 0:00:00	31 12 2000 0:00:00	"RANDOLPH lost to creation of PERRY."	"(Ill. Rev. Code 1826-1827, pp. 110-113)"	18270129	20001231	"IL_AtlasHCB"
"17145"	"PERRY"	"ils_perry"	"IL"	"1"	29 01 1827 0:00:00	28 02 1835 0:00:00	"PERRY created from JACKSON and RANDOLPH."	"(Ill. Rev. Code 1826-1827, pp. 110-113)"	18270129	18350228	"IL_AtlasHCB"
"17077"	"JACKSON"	"ils_jackson"	"IL"	"2"	29 01 1827 0:00:00	31 12 2000 0:00:00	"JACKSON lost to creation of PERRY."	"(Ill. Rev. Code 1826-1827, pp. 110-113)"	18270129	20001231	"IL_AtlasHCB"
"17143"	"PEORIA"	"ils_peoria"	"IL"		31 01 1827 0:00:00		"Non-County Area 6 attached to PEORIA lost to creation of TAZEWELL; remaining part of Non-County Area 6 was detached from PEORIA, attached to TAZEWELL for administrative and judicial purposes."	"(Ill. Rev. Code 1826-1827, pp. 113-115; Rev. Code 1828-1829, p. 32)"	18270131		"IL_AtlasHCB"
"17179"	"TAZEWELL"	"ils_tazewell"	"IL"	"1"	31 01 1827 0:00:00	24 12 1830 0:00:00	"TAZEWELL created from Non-County Area 6 attached to PEORIA and Non-County Area 7 attached to SHELBY. Non-County Area 6 gained from Non-County Area 7, was detached from PEORIA, attached to TAZEWELL for administrative and judicial purposes."	"(Ill. Rev. Code 1826-1827, pp.113-115; Ill. Rev. Code 1828-1829, p. 32)"	18270131	18301224	"IL_AtlasHCB"
"17173"	"SHELBY"	"ils_shelby"	"IL"		31 01 1827 0:00:00		"Non-County Area 7 attached to SHELBY lost to creation of TAZEWELL; an additional part of Non-County Area 7 became part of Non-County Area 6 and was attached to TAZEWELL for administrative and judicial purposes."	"(Ill. Rev. Code 1826-1827, pp. 113-115; Ill. Rev. Code 1828-1829, p. 32)"	18270131		"IL_AtlasHCB"
"17155"	"PUTNAM"	"ils_putnam"	"IL"	"2"	17 02 1827 0:00:00	14 01 1831 0:00:00	"PUTNAM lost to creation of JO DAVIESS."	"(Ill. Rev. Code 1826-1827, pp. 117-118)"	18270217	18310114	"IL_AtlasHCB"
"17131"	"MERCER"	"ils_mercer"	"IL"	"2"	17 02 1827 0:00:00	31 12 2000 0:00:00	"MERCER lost to creation of JO DAVIESS."	"(Ill. Rev. Code 1826-1827, pp. 117-118)"	18270217	20001231	"IL_AtlasHCB"
"17085"	"JO DAVIESS"	"ils_jodaviess"	"IL"	"1"	17 02 1827 0:00:00	14 01 1831 0:00:00	"JO DAVIESS created from HENRY, MERCER, and PUTNAM."	"(Ill. Rev. Code 1826-1827, pp. 117-118)"	18270217	18310114	"IL_AtlasHCB"
"17073"	"HENRY"	"ils_henry"	"IL"	"2"	17 02 1827 0:00:00	14 01 1831 0:00:00	"HENRY lost to creation of JO DAVIESS."	"(Ill. Rev. Code 1826-1827, pp. 117-118)"	18270217	18310114	"IL_AtlasHCB"
"17061"	"GREENE"	"ils_greene"	"IL"		17 01 1829 0:00:00		"GREENE lost all of attached Non-County Area 2 to creation of MACOUPIN; Non-County Area 2 eliminated."	"(Ill. Rev. Code 1828-1829, pp. 26-28)"	18290117		"IL_AtlasHCB"
