Election,OfficeName,VoteFor,CandidateID,CanFirstName,CanLastName,CanAffilCommit,County,Votes,PartyName,PartyAbbrev
GE 2000,COOK CIRCUIT - RETAIN HABERKORN,1,3521,CATHERINE MARIE,HABERKORN - YES,,COOK,638366,,
GE 2000,COOK CIRCUIT - RETAIN HABERKORN,1,3522,CATHERINE MARIE,HABERKORN - NO,,COOK,164784,,
GE 2000,COOK CIRCUIT - RETAIN HAYES,1,3523,MARSHA D.,HAYES - YES,,COOK,659393,,
GE 2000,COOK CIRCUIT - RETAIN HAYES,1,3524,MARSHA D.,HAYES - NO,,COOK,163505,,
GE 2000,COOK CIRCUIT - RETAIN KOWALSKI,1,3525,ROBERT J.,KOWALSKI - YES,,COOK,628333,,
GE 2000,COOK CIRCUIT - RETAIN KOWALSKI,1,3526,ROBERT J.,KOWALSKI - NO,,COOK,171689,,
GE 2000,COOK CIRCUIT - RETAIN MURPHY,1,3527,LISA RUBLE,MURPHY - YES,,COOK,654850,,
GE 2000,COOK CIRCUIT - RETAIN MURPHY,1,3528,LISA RUBLE,MURPHY - NO,,COOK,156316,,
GE 2000,"COOK CIRCUIT - RETAIN MUSE, JR.",1,3529,ELLIOTT,"MUSE, JR. - YES",,COOK,636150,,
GE 2000,"COOK CIRCUIT - RETAIN MUSE, JR.",1,3530,ELLIOTT,"MUSE, JR. - NO",,COOK,161714,,
GE 2000,COOK CIRCUIT - RETAIN NEGA,1,3531,MARYA,NEGA - YES,,COOK,658998,,
GE 2000,COOK CIRCUIT - RETAIN NEGA,1,3532,MARYA,NEGA - NO,,COOK,161892,,
GE 2000,COOK CIRCUIT - RETAIN NOWINSKI,1,3533,THOMAS E.,NOWINSKI - YES,,COOK,719936,,
GE 2000,COOK CIRCUIT - RETAIN NOWINSKI,1,3534,THOMAS E.,NOWINSKI - NO,,COOK,197922,,
GE 2000,COOK CIRCUIT - RETAIN O'BRIEN,1,3535,EDWARD P.,O'BRIEN - YES,,COOK,719659,,
GE 2000,COOK CIRCUIT - RETAIN O'BRIEN,1,3536,EDWARD P.,O'BRIEN - NO,,COOK,164463,,
GE 2000,COOK CIRCUIT - RETAIN PANICHI,1,3537,THOMAS PAUL,PANICHI - YES,,COOK,678012,,
GE 2000,COOK CIRCUIT - RETAIN PANICHI,1,3538,THOMAS PAUL,PANICHI - NO,,COOK,176721,,
GE 2000,COOK CIRCUIT - RETAIN PRESTON,1,3539,LEE,PRESTON - YES,,COOK,700569,,
GE 2000,COOK CIRCUIT - RETAIN PRESTON,1,3540,LEE,PRESTON - NO,,COOK,165293,,
GE 2000,"COOK CIRCUIT - RETAIN RILEY, D. A.",1,3541,DANIEL A.,RILEY - YES,,COOK,711291,,
GE 2000,"COOK CIRCUIT - RETAIN RILEY, D. A.",1,3542,DANIEL A.,RILEY - NO,,COOK,159562,,
GE 2000,COOK CIRCUIT - RETAIN SAVAGE,1,3543,DRELLA C.,SAVAGE - YES,,COOK,710407,,
GE 2000,COOK CIRCUIT - RETAIN SAVAGE,1,3544,DRELLA C.,SAVAGE - NO,,COOK,188020,,
GE 2000,COOK CIRCUIT - RETAIN SHULTZ,1,3545,LON WILLIAM,SHULTZ - YES,,COOK,711752,,
GE 2000,COOK CIRCUIT - RETAIN SHULTZ,1,3546,LON WILLIAM,SHULTZ - NO,,COOK,188892,,
GE 2000,COOK CIRCUIT - RETAIN STEWART,1,3547,VICTORIA A.,STEWART - YES,,COOK,801520,,
GE 2000,COOK CIRCUIT - RETAIN STEWART,1,3548,VICTORIA A.,STEWART - NO,,COOK,155900,,
GE 2000,COOK CIRCUIT - RETAIN TAYLOR,1,3549,BILL,TAYLOR - YES,,COOK,751894,,
GE 2000,COOK CIRCUIT - RETAIN TAYLOR,1,3550,BILL,TAYLOR - NO,,COOK,160735,,
GE 2000,COOK CIRCUIT - RETAIN TERRELL,1,3552,"LAWRENCE ""LARRY""",TERRELL - NO,,COOK,188418,,
GE 2000,COOK CIRCUIT - RETAIN TERRELL,1,3551,"LAWRENCE ""LARRY""",TERRELL - YES,,COOK,629070,,
GE 2000,COOK CIRCUIT - RETAIN TONEY,1,3553,AMANDA S.,TONEY - YES,,COOK,579474,,
GE 2000,COOK CIRCUIT - RETAIN TONEY,1,3554,AMANDA S.,TONEY - NO,,COOK,260135,,
GE 2000,COOK CIRCUIT - RETAIN VARGA,1,3555,JAMES M.,VARGA - YES,,COOK,625347,,
GE 2000,COOK CIRCUIT - RETAIN VARGA,1,3556,JAMES M.,VARGA - NO,,COOK,179738,,
GE 2000,COOK CIRCUIT - RETAIN WALSH,1,3557,RICHARD F.,WALSH - YES,,COOK,626950,,
GE 2000,COOK CIRCUIT - RETAIN WALSH,1,3558,RICHARD F.,WALSH - NO,,COOK,184509,,
GE 2000,COOK CIRCUIT - RETAIN WILLIS,1,3559,CAMILLE E.,WILLIS - YES,,COOK,677616,,
GE 2000,COOK CIRCUIT - RETAIN WILLIS,1,3560,CAMILLE E.,WILLIS - NO,,COOK,163954,,
GE 2000,GRUNDY AND KENDALL - SUPERINTENDENT OF SCHOOLS,1,3561,JOHN,MUSGRAVE,,KENDALL,6887,DEMOCRATIC,DEM
GE 2000,GRUNDY AND KENDALL - SUPERINTENDENT OF SCHOOLS,1,3561,JOHN,MUSGRAVE,,GRUNDY,7509,DEMOCRATIC,DEM
GE 2000,GRUNDY AND KENDALL - SUPERINTENDENT OF SCHOOLS,1,3561,JOHN,MUSGRAVE,,WILL,447,DEMOCRATIC,DEM
GE 2000,GRUNDY AND KENDALL - SUPERINTENDENT OF SCHOOLS,1,3561,JOHN,MUSGRAVE,,KANE,80,DEMOCRATIC,DEM
GE 2000,GRUNDY AND KENDALL - SUPERINTENDENT OF SCHOOLS,1,3562,THOMAS J.,CENTOWSKI,,KENDALL,12424,REPUBLICAN,REP
GE 2000,GRUNDY AND KENDALL - SUPERINTENDENT OF SCHOOLS,1,3562,THOMAS J.,CENTOWSKI,,GRUNDY,7321,REPUBLICAN,REP
GE 2000,GRUNDY AND KENDALL - SUPERINTENDENT OF SCHOOLS,1,3562,THOMAS J.,CENTOWSKI,,WILL,500,REPUBLICAN,REP
GE 2000,GRUNDY AND KENDALL - SUPERINTENDENT OF SCHOOLS,1,3562,THOMAS J.,CENTOWSKI,,KANE,101,REPUBLICAN,REP
GE 2000,3RD APPELLATE - RETAIN SLATER,1,3305,KENT,SLATER - YES,,WHITESIDE,15827,,
GE 2000,3RD APPELLATE - RETAIN SLATER,1,3305,KENT,SLATER - YES,,IROQUOIS,8904,,
GE 2000,3RD APPELLATE - RETAIN SLATER,1,3305,KENT,SLATER - YES,,TAZEWELL,38535,,
GE 2000,3RD APPELLATE - RETAIN SLATER,1,3305,KENT,SLATER - YES,,ROCK ISLAND,43333,,
GE 2000,3RD APPELLATE - RETAIN SLATER,1,3305,KENT,SLATER - YES,,GRUNDY,10752,,
GE 2000,3RD APPELLATE - RETAIN SLATER,1,3305,KENT,SLATER - YES,,HENDERSON,2512,,
GE 2000,3RD APPELLATE - RETAIN SLATER,1,3306,KENT,SLATER - NO,,ROCK ISLAND,9163,,
GE 2000,3RD APPELLATE - RETAIN SLATER,1,3306,KENT,SLATER - NO,,GRUNDY,2968,,
GE 2000,3RD APPELLATE - RETAIN SLATER,1,3306,KENT,SLATER - NO,,HENDERSON,541,,
GE 2000,3RD APPELLATE - RETAIN SLATER,1,3306,KENT,SLATER - NO,,STARK,454,,
GE 2000,3RD APPELLATE - RETAIN SLATER,1,3306,KENT,SLATER - NO,,McDONOUGH,1643,,
GE 2000,3RD APPELLATE - RETAIN SLATER,1,3306,KENT,SLATER - NO,,HANCOCK,1324,,
GE 2000,3RD APPELLATE - RETAIN SLATER,1,3306,KENT,SLATER - NO,,PEORIA,10148,,
GE 2000,3RD APPELLATE - RETAIN SLATER,1,3306,KENT,SLATER - NO,,WILL,38715,,
GE 2000,3RD APPELLATE - RETAIN SLATER,1,3306,KENT,SLATER - NO,,HENRY,3361,,
GE 2000,3RD APPELLATE - RETAIN SLATER,1,3306,KENT,SLATER - NO,,KNOX,3174,,
GE 2000,3RD APPELLATE - RETAIN SLATER,1,3306,KENT,SLATER - NO,,MARSHALL,922,,
GE 2000,3RD APPELLATE - RETAIN SLATER,1,3306,KENT,SLATER - NO,,MERCER,1355,,
GE 2000,3RD APPELLATE - RETAIN SLATER,1,3306,KENT,SLATER - NO,,LaSALLE,8526,,
GE 2000,3RD APPELLATE - RETAIN SLATER,1,3306,KENT,SLATER - NO,,PUTNAM,504,,
GE 2000,3RD APPELLATE - RETAIN SLATER,1,3306,KENT,SLATER - NO,,FULTON,2459,,
GE 2000,3RD APPELLATE - RETAIN SLATER,1,3306,KENT,SLATER - NO,,BUREAU,2216,,
GE 2000,3RD APPELLATE - RETAIN SLATER,1,3306,KENT,SLATER - NO,,KANKAKEE,7261,,
GE 2000,3RD APPELLATE - RETAIN SLATER,1,3306,KENT,SLATER - NO,,WARREN,870,,
GE 2000,3RD APPELLATE - RETAIN SLATER,1,3306,KENT,SLATER - NO,,WHITESIDE,3580,,
GE 2000,3RD APPELLATE - RETAIN SLATER,1,3306,KENT,SLATER - NO,,IROQUOIS,2291,,
GE 2000,3RD APPELLATE - RETAIN SLATER,1,3306,KENT,SLATER - NO,,TAZEWELL,7872,,
GE 2000,5TH APPELLATE - RETAIN WELCH,1,3307,THOMAS M.,WELCH - YES,,PULASKI,1468,,
GE 2000,5TH APPELLATE - RETAIN WELCH,1,3307,THOMAS M.,WELCH - YES,,FRANKLIN,11334,,
GE 2000,5TH APPELLATE - RETAIN WELCH,1,3307,THOMAS M.,WELCH - YES,,GALLATIN,1455,,
GE 2000,5TH APPELLATE - RETAIN WELCH,1,3307,THOMAS M.,WELCH - YES,,JACKSON,14026,,
GE 2000,5TH APPELLATE - RETAIN WELCH,1,3307,THOMAS M.,WELCH - YES,,LAWRENCE,3691,,
GE 2000,5TH APPELLATE - RETAIN WELCH,1,3307,THOMAS M.,WELCH - YES,,WABASH,3615,,
GE 2000,5TH APPELLATE - RETAIN WELCH,1,3307,THOMAS M.,WELCH - YES,,PERRY,5823,,
GE 2000,5TH APPELLATE - RETAIN WELCH,1,3307,THOMAS M.,WELCH - YES,,MASSAC,3358,,
GE 2000,5TH APPELLATE - RETAIN WELCH,1,3307,THOMAS M.,WELCH - YES,,MONROE,8394,,
GE 2000,5TH APPELLATE - RETAIN WELCH,1,3307,THOMAS M.,WELCH - YES,,HARDIN,1415,,
GE 2000,5TH APPELLATE - RETAIN WELCH,1,3307,THOMAS M.,WELCH - YES,,POPE,1159,,
GE 2000,5TH APPELLATE - RETAIN WELCH,1,3307,THOMAS M.,WELCH - YES,,BOND,4382,,
GE 2000,5TH APPELLATE - RETAIN WELCH,1,3307,THOMAS M.,WELCH - YES,,UNION,4546,,
