Election,OfficeName,VoteFor,CandidateID,CanFirstName,CanLastName,CanAffilCommit,County,Votes,PartyName,PartyAbbrev
GP 1998,22ND SENATE,1,4938,BRIAN,BAILEY,,COOK,6877,DEMOCRATIC,DEM
GP 1998,22ND SENATE,1,4938,BRIAN,BAILEY,,DuPAGE,612,DEMOCRATIC,DEM
GP 1998,70TH REPRESENTATIVE,1,4939,DAVID,WIRSING,,OGLE,2534,REPUBLICAN,REP
GP 1998,70TH REPRESENTATIVE,1,4939,DAVID,WIRSING,,DeKALB,4078,REPUBLICAN,REP
GP 1998,70TH REPRESENTATIVE,1,4939,DAVID,WIRSING,,LEE,422,REPUBLICAN,REP
GP 1998,70TH REPRESENTATIVE,1,4939,DAVID,WIRSING,,WINNEBAGO,73,REPUBLICAN,REP
GP 1998,71ST REPRESENTATIVE,1,4940,MICHAEL J.,BOLAND,,HENRY,310,DEMOCRATIC,DEM
GP 1998,71ST REPRESENTATIVE,1,4940,MICHAEL J.,BOLAND,,CARROLL,26,DEMOCRATIC,DEM
GP 1998,71ST REPRESENTATIVE,1,4940,MICHAEL J.,BOLAND,,ROCK ISLAND,5780,DEMOCRATIC,DEM
GP 1998,71ST REPRESENTATIVE,1,4940,MICHAEL J.,BOLAND,,WHITESIDE,421,DEMOCRATIC,DEM
GP 1998,23RD SENATE,1,4941,"JAMES ""PATE""",PHILIP,,COOK,2864,REPUBLICAN,REP
GP 1998,23RD SENATE,1,4941,"JAMES ""PATE""",PHILIP,,DuPAGE,8871,REPUBLICAN,REP
GP 1998,72ND REPRESENTATIVE,1,4942,JOEL,BRUNSVOLD,,ROCK ISLAND,6621,DEMOCRATIC,DEM
GP 1998,72ND REPRESENTATIVE,1,4942,JOEL,BRUNSVOLD,,MERCER,823,DEMOCRATIC,DEM
GP 1998,25TH SENATE,1,4943,DORIS C.,KARPIEL,,KANE,4332,REPUBLICAN,REP
GP 1998,25TH SENATE,1,4943,DORIS C.,KARPIEL,,COOK,1819,REPUBLICAN,REP
GP 1998,25TH SENATE,1,4943,DORIS C.,KARPIEL,,DuPAGE,8477,REPUBLICAN,REP
GP 1998,73RD REPRESENTATIVE,1,4944,JERRY,MITCHELL,,HENRY,1805,REPUBLICAN,REP
GP 1998,73RD REPRESENTATIVE,1,4944,JERRY,MITCHELL,,OGLE,1953,REPUBLICAN,REP
GP 1998,73RD REPRESENTATIVE,1,4944,JERRY,MITCHELL,,BUREAU,330,REPUBLICAN,REP
GP 1998,73RD REPRESENTATIVE,1,4944,JERRY,MITCHELL,,LEE,3790,REPUBLICAN,REP
GP 1998,73RD REPRESENTATIVE,1,4944,JERRY,MITCHELL,,WHITESIDE,1187,REPUBLICAN,REP
GP 1998,26TH SENATE,1,4945,WILLIAM E.,PETERSON,,COOK,2715,REPUBLICAN,REP
GP 1998,26TH SENATE,1,4945,WILLIAM E.,PETERSON,,LAKE,15375,REPUBLICAN,REP
GP 1998,73RD REPRESENTATIVE,1,4946,MICHAEL J.,PRENEVOST,,HENRY,219,DEMOCRATIC,DEM
GP 1998,73RD REPRESENTATIVE,1,4946,MICHAEL J.,PRENEVOST,,OGLE,352,DEMOCRATIC,DEM
GP 1998,73RD REPRESENTATIVE,1,4946,MICHAEL J.,PRENEVOST,,BUREAU,90,DEMOCRATIC,DEM
GP 1998,73RD REPRESENTATIVE,1,4946,MICHAEL J.,PRENEVOST,,LEE,905,DEMOCRATIC,DEM
GP 1998,73RD REPRESENTATIVE,1,4946,MICHAEL J.,PRENEVOST,,WHITESIDE,904,DEMOCRATIC,DEM
GP 1998,28TH SENATE,1,4947,MARTIN J.,BUTLER,,COOK,13444,REPUBLICAN,REP
GP 1998,74TH REPRESENTATIVE,1,4948,I. RONALD,LAWFER,,OGLE,490,REPUBLICAN,REP
GP 1998,74TH REPRESENTATIVE,1,4948,I. RONALD,LAWFER,,CARROLL,1743,REPUBLICAN,REP
GP 1998,74TH REPRESENTATIVE,1,4948,I. RONALD,LAWFER,,JoDAVIESS,1622,REPUBLICAN,REP
GP 1998,74TH REPRESENTATIVE,1,4948,I. RONALD,LAWFER,,STEPHENSON,5379,REPUBLICAN,REP
GP 1998,74TH REPRESENTATIVE,1,4948,I. RONALD,LAWFER,,WHITESIDE,385,REPUBLICAN,REP
GP 1998,74TH REPRESENTATIVE,1,4949,BILL,WHITE,,OGLE,2,DEMOCRATIC,DEM
GP 1998,74TH REPRESENTATIVE,1,4949,BILL,WHITE,,CARROLL,32,DEMOCRATIC,DEM
GP 1998,74TH REPRESENTATIVE,1,4949,BILL,WHITE,,JoDAVIESS,43,DEMOCRATIC,DEM
GP 1998,74TH REPRESENTATIVE,1,4949,BILL,WHITE,,STEPHENSON,17,DEMOCRATIC,DEM
GP 1998,74TH REPRESENTATIVE,1,4949,BILL,WHITE,,WHITESIDE,21,DEMOCRATIC,DEM
GP 1998,75TH REPRESENTATIVE,1,4950,"DENNIS ""DENNY""",PETERS,,KANKAKEE,1110,REPUBLICAN,REP
GP 1998,75TH REPRESENTATIVE,1,4950,"DENNIS ""DENNY""",PETERS,,LaSALLE,1477,REPUBLICAN,REP
GP 1998,75TH REPRESENTATIVE,1,4950,"DENNIS ""DENNY""",PETERS,,GRUNDY,2515,REPUBLICAN,REP
GP 1998,75TH REPRESENTATIVE,1,4950,"DENNIS ""DENNY""",PETERS,,WILL,1070,REPUBLICAN,REP
GP 1998,75TH REPRESENTATIVE,1,4951,MARY K.,O'BRIEN,,KANKAKEE,621,DEMOCRATIC,DEM
GP 1998,75TH REPRESENTATIVE,1,4951,MARY K.,O'BRIEN,,LaSALLE,909,DEMOCRATIC,DEM
