Election,OfficeName,VoteFor,CandidateID,CanFirstName,CanLastName,CanAffilCommit,County,Votes,PartyName,PartyAbbrev
GP 2000,1ST REPRESENTATIVE,1,1429,SUSANA,MENDOZA,,COOK,4343,DEMOCRATIC,DEM
GP 2000,COOK CIRCUIT - MURPHY VACANCY,1,1430,MICHAEL L.,McGRATH,,COOK,72911,DEMOCRATIC,DEM
GP 2000,20TH REPRESENTATIVE,1,1431,CHESTER R.,HORNOWSKI,,COOK,2381,DEMOCRATIC,DEM
GP 2000,8TH REPRESENTATIVE,1,1432,La  SHAWN K.,FORD,,COOK,3471,DEMOCRATIC,DEM
GP 2000,99TH REPRESENTATIVE,1,1433,RAYMOND,POE,,CASS,479,REPUBLICAN,REP
GP 2000,99TH REPRESENTATIVE,1,1433,RAYMOND,POE,,SANGAMON,2389,REPUBLICAN,REP
GP 2000,99TH REPRESENTATIVE,1,1433,RAYMOND,POE,,MENARD,1800,REPUBLICAN,REP
GP 2000,15TH CONGRESS,1,1434,BILL,BRADY,,KANKAKEE,824,REPUBLICAN,REP
GP 2000,15TH CONGRESS,1,1434,BILL,BRADY,,CHAMPAIGN,5741,REPUBLICAN,REP
GP 2000,15TH CONGRESS,1,1434,BILL,BRADY,,FORD,714,REPUBLICAN,REP
GP 2000,15TH CONGRESS,1,1434,BILL,BRADY,,IROQUOIS,1319,REPUBLICAN,REP
GP 2000,15TH CONGRESS,1,1434,BILL,BRADY,,EDGAR,474,REPUBLICAN,REP
GP 2000,15TH CONGRESS,1,1434,BILL,BRADY,,PIATT,517,REPUBLICAN,REP
GP 2000,15TH CONGRESS,1,1434,BILL,BRADY,,LIVINGSTON,1940,REPUBLICAN,REP
GP 2000,15TH CONGRESS,1,1434,BILL,BRADY,,VERMILION,1512,REPUBLICAN,REP
GP 2000,15TH CONGRESS,1,1434,BILL,BRADY,,McLEAN,12100,REPUBLICAN,REP
GP 2000,15TH CONGRESS,1,1434,BILL,BRADY,,DeWITT,546,REPUBLICAN,REP
GP 2000,15TH CONGRESS,1,1434,BILL,BRADY,,DOUGLAS,317,REPUBLICAN,REP
GP 2000,88TH REPRESENTATIVE,1,1435,ED,BRADY,,WOODFORD,253,REPUBLICAN,REP
GP 2000,88TH REPRESENTATIVE,1,1435,ED,BRADY,,McLEAN,6387,REPUBLICAN,REP
GP 2000,1ST SUBCIRCUIT - A VACANCY,1,1436,SYBIL C.,THOMAS,,COOK,5633,DEMOCRATIC,DEM
GP 2000,50TH REPRESENTATIVE,1,1437,ANDREW V.,DUNGEY,,KANE,1047,REPUBLICAN,REP
GP 2000,50TH REPRESENTATIVE,1,1437,ANDREW V.,DUNGEY,,DuPAGE,1795,REPUBLICAN,REP
GP 2000,117TH REPRESENTATIVE,1,1438,BILL,WILSON,,WHITE,238,DEMOCRATIC,DEM
GP 2000,117TH REPRESENTATIVE,1,1438,BILL,WILSON,,FRANKLIN,5096,DEMOCRATIC,DEM
GP 2000,117TH REPRESENTATIVE,1,1438,BILL,WILSON,,GALLATIN,269,DEMOCRATIC,DEM
GP 2000,117TH REPRESENTATIVE,1,1438,BILL,WILSON,,WILLIAMSON,1226,DEMOCRATIC,DEM
GP 2000,117TH REPRESENTATIVE,1,1438,BILL,WILSON,,HAMILTON,36,DEMOCRATIC,DEM
GP 2000,117TH REPRESENTATIVE,1,1438,BILL,WILSON,,SALINE,226,DEMOCRATIC,DEM
GP 2000,29TH REPRESENTATIVE,1,1440,WILLIS,HARRIS,,COOK,5156,DEMOCRATIC,DEM
GP 2000,82ND REPRESENTATIVE,1,1441,"JAMES H. ""JIM""",MEYER,,WILL,2591,REPUBLICAN,REP
GP 2000,82ND REPRESENTATIVE,1,1441,"JAMES H. ""JIM""",MEYER,,DuPAGE,3322,REPUBLICAN,REP
GP 2000,82ND REPRESENTATIVE,1,1441,"JAMES H. ""JIM""",MEYER,,COOK,599,REPUBLICAN,REP
GP 2000,15TH SENATE,1,1442,"WILLIAM ""BILL""",SHAW,,COOK,16974,DEMOCRATIC,DEM
GP 2000,6TH CONGRESS,1,1443,THOMAS A.,CRAMER,,DuPAGE,4166,DEMOCRATIC,DEM
GP 2000,6TH CONGRESS,1,1443,THOMAS A.,CRAMER,,COOK,2298,DEMOCRATIC,DEM
GP 2000,100TH REPRESENTATIVE,1,1444,GWENN,KLINGLER,,SANGAMON,2527,REPUBLICAN,REP
GP 2000,14TH REPRESENTATIVE,1,1445,MICHAEL P.,McAULIFFE,,COOK,3212,REPUBLICAN,REP
GP 2000,27TH REPRESENTATIVE,1,1446,RONALD I.,GAINES,,COOK,4067,DEMOCRATIC,DEM
GP 2000,83RD REPRESENTATIVE,1,1447,BRENT,HASSERT,,WILL,10000,REPUBLICAN,REP
GP 2000,19TH CIRCUIT - FRANZ VACANCY,1,1448,GORDON E.,GRAHAM,,McHENRY,9417,REPUBLICAN,REP
GP 2000,19TH CIRCUIT - FRANZ VACANCY,1,1448,GORDON E.,GRAHAM,,LAKE,11111,REPUBLICAN,REP
GP 2000,8TH CONGRESS,1,1449,PHILIP M.,CRANE,,COOK,7010,REPUBLICAN,REP
GP 2000,8TH CONGRESS,1,1449,PHILIP M.,CRANE,,LAKE,24051,REPUBLICAN,REP
GP 2000,5TH SUBCIRCUIT - A VACANCY,1,1450,LORETTA,EADIE-DANIELS,,COOK,11886,DEMOCRATIC,DEM
GP 2000,2ND SUPREME - NICKELS VACANCY,1,1451,BONNIE,WHEATON,,CARROLL,694,REPUBLICAN,REP
GP 2000,2ND SUPREME - NICKELS VACANCY,1,1451,BONNIE,WHEATON,,OGLE,2543,REPUBLICAN,REP
GP 2000,2ND SUPREME - NICKELS VACANCY,1,1451,BONNIE,WHEATON,,BOONE,1264,REPUBLICAN,REP
GP 2000,2ND SUPREME - NICKELS VACANCY,1,1451,BONNIE,WHEATON,,LEE,755,REPUBLICAN,REP
GP 2000,2ND SUPREME - NICKELS VACANCY,1,1451,BONNIE,WHEATON,,JoDAVIESS,1206,REPUBLICAN,REP
GP 2000,2ND SUPREME - NICKELS VACANCY,1,1451,BONNIE,WHEATON,,KANE,10206,REPUBLICAN,REP
