Election,OfficeName,VoteFor,CandidateID,CanFirstName,CanLastName,CanAffilCommit,County,Votes,PartyName,PartyAbbrev
GP 2002,100TH REPRESENTATIVE,1,5867,RICH,BRAUER,,MENARD,2658,REPUBLICAN,REP
GP 2002,100TH REPRESENTATIVE,1,5867,RICH,BRAUER,,LOGAN,1848,REPUBLICAN,REP
GP 2002,100TH REPRESENTATIVE,1,5867,RICH,BRAUER,,SANGAMON,7427,REPUBLICAN,REP
GP 2002,53RD REPRESENTATIVE,1,5869,THOMAS,DUDA,,COOK,5270,DEMOCRATIC,DEM
GP 2002,53RD REPRESENTATIVE,1,5869,THOMAS,DUDA,,LAKE,821,DEMOCRATIC,DEM
GP 2002,4TH STATE CENTRAL COMMITTEEMAN,1,5870,JESSE RUBEN,JUAREZ,,COOK,14464,DEMOCRATIC,DEM
GP 2002,27TH REPRESENTATIVE,1,5871,JEROME,BROWN,,COOK,4302,DEMOCRATIC,DEM
GP 2002,4TH SUBCIRCUIT - A VACANCY,1,5873,SUSAN ELIZABETH,COX,,COOK,9872,DEMOCRATIC,DEM
GP 2002,18TH STATE CENTRAL COMMITTEEMAN,1,5874,JAMES K.,POLK,,BROWN,105,DEMOCRATIC,DEM
GP 2002,18TH STATE CENTRAL COMMITTEEMAN,1,5874,JAMES K.,POLK,,BUREAU,66,DEMOCRATIC,DEM
GP 2002,18TH STATE CENTRAL COMMITTEEMAN,1,5874,JAMES K.,POLK,,MARSHALL,233,DEMOCRATIC,DEM
GP 2002,18TH STATE CENTRAL COMMITTEEMAN,1,5874,JAMES K.,POLK,,WOODFORD,353,DEMOCRATIC,DEM
GP 2002,18TH STATE CENTRAL COMMITTEEMAN,1,5874,JAMES K.,POLK,,SCHUYLER,152,DEMOCRATIC,DEM
GP 2002,18TH STATE CENTRAL COMMITTEEMAN,1,5874,JAMES K.,POLK,,TAZEWELL,3188,DEMOCRATIC,DEM
GP 2002,18TH STATE CENTRAL COMMITTEEMAN,1,5874,JAMES K.,POLK,,STARK,104,DEMOCRATIC,DEM
GP 2002,18TH STATE CENTRAL COMMITTEEMAN,1,5874,JAMES K.,POLK,,MACON,702,DEMOCRATIC,DEM
GP 2002,18TH STATE CENTRAL COMMITTEEMAN,1,5874,JAMES K.,POLK,,MASON,775,DEMOCRATIC,DEM
GP 2002,18TH STATE CENTRAL COMMITTEEMAN,1,5874,JAMES K.,POLK,,PUTNAM,69,DEMOCRATIC,DEM
GP 2002,18TH STATE CENTRAL COMMITTEEMAN,1,5874,JAMES K.,POLK,,MENARD,204,DEMOCRATIC,DEM
GP 2002,18TH STATE CENTRAL COMMITTEEMAN,1,5874,JAMES K.,POLK,,MORGAN,676,DEMOCRATIC,DEM
GP 2002,18TH STATE CENTRAL COMMITTEEMAN,1,5874,JAMES K.,POLK,,PIKE,370,DEMOCRATIC,DEM
GP 2002,18TH STATE CENTRAL COMMITTEEMAN,1,5874,JAMES K.,POLK,,LOGAN,350,DEMOCRATIC,DEM
GP 2002,18TH STATE CENTRAL COMMITTEEMAN,1,5874,JAMES K.,POLK,,CASS,337,DEMOCRATIC,DEM
GP 2002,18TH STATE CENTRAL COMMITTEEMAN,1,5874,JAMES K.,POLK,,KNOX,84,DEMOCRATIC,DEM
GP 2002,18TH STATE CENTRAL COMMITTEEMAN,1,5874,JAMES K.,POLK,,SCOTT,80,DEMOCRATIC,DEM
GP 2002,18TH STATE CENTRAL COMMITTEEMAN,1,5874,JAMES K.,POLK,,PEORIA,6344,DEMOCRATIC,DEM
GP 2002,18TH STATE CENTRAL COMMITTEEMAN,1,5874,JAMES K.,POLK,,SANGAMON,2195,DEMOCRATIC,DEM
GP 2002,18TH STATE CENTRAL COMMITTEEMAN,1,5874,JAMES K.,POLK,,ADAMS,210,DEMOCRATIC,DEM
GP 2002,33RD REPRESENTATIVE,1,5875,LIONEL O.,PITTMAN,,COOK,531,REPUBLICAN,REP
GP 2002,8TH REPRESENTATIVE,1,5877,GLENN L.,HARRIS,,COOK,1685,REPUBLICAN,REP
GP 2002,COOK CIRCUIT- LEVIN VACANCY,1,5878,MARGARET ANN,BRENNAN,,COOK,198828,DEMOCRATIC,DEM
GP 2002,29TH REPRESENTATIVE,1,5879,LINDA,ROCKETT,,COOK,1932,REPUBLICAN,REP
GP 2002,57TH REPRESENTATIVE,1,5880,JAMES R.,BROOKMAN,,COOK,2148,REPUBLICAN,REP
GP 2002,30TH REPRESENTATIVE,1,5881,WILLIE,JORDAN JR.,,COOK,1349,REPUBLICAN,REP
GP 2002,25TH REPRESENTATIVE,1,5885,ELROY M.,LEACH JR.,,COOK,373,REPUBLICAN,REP
GP 2002,32ND REPRESENTATIVE,1,5886,DEROME,STOVALL,,COOK,279,REPUBLICAN,REP
GP 2002,6TH REPRESENTATIVE,1,5887,PATRICIA,BAILEY,,COOK,5378,DEMOCRATIC,DEM
GP 2002,31ST REPRESENTATIVE,1,5888,C. A.,LOFTON,,COOK,1114,REPUBLICAN,REP
GP 2002,COOK CIRCUIT- HETT VACANCY,1,5889,MOIRA SUSAN,JOHNSON,,COOK,117785,DEMOCRATIC,DEM
GP 2002,9TH SUBCIRCUIT - A VACANCY,1,5890,JUDY,FRYDLAND,,COOK,2009,DEMOCRATIC,DEM
GP 2002,16TH CONGRESS,1,5891,JOHN,KUTSCH,,CARROLL,496,DEMOCRATIC,DEM
GP 2002,16TH CONGRESS,1,5891,JOHN,KUTSCH,,BOONE,1223,DEMOCRATIC,DEM
GP 2002,16TH CONGRESS,1,5891,JOHN,KUTSCH,,JoDAVIESS,726,DEMOCRATIC,DEM
GP 2002,16TH CONGRESS,1,5891,JOHN,KUTSCH,,WHITESIDE,638,DEMOCRATIC,DEM
GP 2002,16TH CONGRESS,1,5891,JOHN,KUTSCH,,DeKALB,517,DEMOCRATIC,DEM
GP 2002,16TH CONGRESS,1,5891,JOHN,KUTSCH,,STEPHENSON,1634,DEMOCRATIC,DEM
GP 2002,16TH CONGRESS,1,5891,JOHN,KUTSCH,,OGLE,1506,DEMOCRATIC,DEM
GP 2002,16TH CONGRESS,1,5891,JOHN,KUTSCH,,WINNEBAGO,15808,DEMOCRATIC,DEM
GP 2002,16TH CONGRESS,1,5891,JOHN,KUTSCH,,McHENRY,5154,DEMOCRATIC,DEM
GP 2002,5TH SUBCIRCUIT - A VACANCY,1,5892,CASANDRA,LEWIS,,COOK,25640,DEMOCRATIC,DEM
GP 2002,9TH CIRCUIT - EVANS VACANCY,1,5893,LaMARR W.,EVANS,,HENDERSON,499,DEMOCRATIC,DEM
GP 2002,5TH CONGRESS,1,5894,MARK A.,FREDRICKSON,,COOK,1202,DEMOCRATIC,DEM
GP 2002,99TH REPRESENTATIVE,1,5895,DONALD M.,CRAVEN,,SANGAMON,5291,DEMOCRATIC,DEM
GP 2002,41ST REPRESENTATIVE,1,5897,SHAWN A.,ARANHA,,COOK,2891,DEMOCRATIC,DEM
GP 2002,41ST REPRESENTATIVE,1,5897,SHAWN A.,ARANHA,,DuPAGE,3022,DEMOCRATIC,DEM
GP 2002,11TH SENATE,1,5898,JEFFREY P.,MALINOWSKI,,COOK,3103,REPUBLICAN,REP
